patente,bid
KI7112,19
DQ3759,69
WF7217,26
BI5654,29
XN4914,47
DK4889,10
MY3367,60
GS9663,43
MU6547,49
YG2900,56
SG9128,48
XH5466,33
HE2921,9
AL1557,15
RH8308,27
WF3051,41
PJ5481,0
AU6167,3
WX5990,5
XB6912,20
OE1789,31
ON7101,53
FE1567,72
TQ5114,24
BN3951,35
LW4637,4
BZ3311,32
GJ5946,34
PR9667,52
WD8846,66
BN4195,2
XL6992,7
AV9914,18
WC2925,70
TO8113,28
UW2735,37
HF4402,42
FS3778,46
HH5023,6
VG7905,16
CB1716,21
NN2774,71
HV2199,1
VT6220,11
OT5458,12
SM2508,8
FN4513,54
HE8199,61
HI3831,17
EF7582,38
VI7863,22
ZP4420,25
DS0478,64
OF5460,67
XG7925,30
DG5218,55
GS9404,68
QL4591,39
AM9504,14
PK9613,45
KY2131,57
NK1201,40
VH2584,59
RP8314,62
NX3376,50
OI4579,73
YW8268,63
DY6365,23
PZ3477,13
VI9753,65
PZ1913,36
EE2109,44
AI2283,51
OY7209,58
