patente,bid
ZX2922,0
FO3430,9
UL8619,58
PM8536,1
VI4743,16
EF2295,73
YN4644,2
GM1638,46
GC3280,52
OV3558,64
PA1651,72
CV4539,82
UJ2611,84
YX2002,88
PU5101,3
PM7495,55
UH6836,4
HE5247,5
CC4639,49
RC8468,6
VX5561,25
FJ6533,7
LW6201,8
EY2745,24
CG7403,71
VY5330,10
VP2429,26
VW7522,43
IW2489,45
WC8293,47
RQ2918,11
LI5894,12
VC7492,13
XK7318,14
YE6286,22
RK9162,89
ID7819,15
FU8868,57
SV9482,69
BF7024,17
RA3983,48
FM3163,56
OC4762,78
MN1612,18
MZ9845,19
IX1197,31
BB5259,20
EG8528,42
II3534,21
OF1501,80
LS5992,23
VT2032,27
FI2331,30
YC1851,74
IG9597,28
TS8958,32
LN6036,29
PJ8392,60
HH5472,85
LN8777,33
JR2308,34
BJ4245,54
TW7915,63
ST8633,35
YT2845,39
HW2014,59
DC7834,50
OO2266,90
GS7205,44
MO4968,68
TG8958,77
XP9141,67
DV6261,36
KH8053,38
YB1434,75
IT1233,37
MO4425,41
NP8695,51
DA9671,61
WI9449,81
UO8744,76
MJ4934,87
AU5998,40
ET5609,53
XG4556,70
YP3858,79
IH6707,83
KQ3854,86
NL7862,62
QA2495,66
PB7290,65
