patente,bid
HE7029,57
VB9537,51
RY9242,62
AY3986,53
UY2987,56
VR7517,71
OA5815,75
QJ6353,59
EB3227,63
TJ7818,6
WW2485,13
IF9396,22
PP3724,79
EI5834,52
RJ2733,2
QD4440,12
SL2391,31
HK6767,66
UH1378,81
PJ3020,20
EX4705,44
MN4984,50
QI7769,80
GO7311,47
TR8211,54
ZV9679,60
RV9799,17
HB3228,3
OR9516,82
IV2746,33
LR2069,24
NQ5495,39
HP3120,77
DT6703,67
EI5702,30
ZC6249,41
WK4832,83
KC2936,16
PV7666,37
YB3879,49
ZV8179,8
RK2324,4
LD3618,21
KM2551,46
QJ1463,9
MW6341,14
JD8184,70
IJ4552,73
BY5212,11
NT2280,28
GE9618,76
LX6914,0
EH9187,10
LV7419,26
EV7485,74
OJ8771,1
GT9752,15
QC1164,18
GF5994,32
HF1544,5
AI9121,19
NN8091,25
OH1392,68
SU8617,7
FA3127,23
ED5736,43
CE1914,27
AL8743,45
LA5643,29
CI3218,58
YB8271,78
LF8633,34
RW4421,55
HI7513,64
BY4314,72
OM4230,35
PV6712,84
UE6214,36
HB4367,38
MZ2239,61
OF5956,69
UZ5981,40
RO9221,65
SQ8557,42
OB9598,48
